n,Multiplicand,Multiplier,Product,Result(Part 1),Result(Part 2),PrimitiveOperations(Part 1),PrimitiveOperations(Part 2)
63,696870608012162989313292839285352401053870840920650312478595625,666411422105819104251091118633585171363734315217575140342519859,464402532909132354522802613670304027080849119448082240502887730466468607303794559381220564598926319286298640331237013993016875,668239848450513911910740594503766600003796220332107974562952741320795439105135854808222865727038026846934425469094215645936250,464402532909132354522802613670304027080849119448082240502887730466468607303794559381220564598926319286298640331237013993016875,57593,39254
64,9897015159915289464934950379200094658750185466339339943354635641,6874896851901604538205499177524655823148930833316011406266136600,68040958366124078752103014434284571815238901993638538650110134672518375961881026140558038782664561341418044097298716569734560600,656336653283260468359134239200036877965860153058362752104054938570159986742389962828745277458526427473071102991217254840357826,68040958366124078752103014434284571815238901993638538650110134672518375961881026140558038782664561341418044097298716569734560600,59403,40332
65,55271871936179335982764296081410354230368648517451610586278725350,55233541425438537789783949764009332365467049851185211368916183610,3052861228248495114789118439693635400132994981467838214075898334940718987175819765430676036847118758769215352188620837857361513500,90544279518113025006480280853621543002373959101142704830854398671666354212857259345225750384900986202884509931735486556586514250,3052861228248495114789118439693635400132994981467838214075898334940718987175819765430676036847118758769215352188620837857361513500,61241,41459
66,549372909817556526515874342219071431852513176563697707218529388532,794738393219404630430337210660129459516558850144561460443044103838,436607743626673757316847826552543609552779283690641798579998739200985246716623561587521755406560315872206370677261833290426054385816,460540101586067305191959319487823729370700161446071096039183111912044762142251081035815517609457682935289435259322505715584383384404,436607743626673757316847826552543609552779283690641798579998739200985246716623561587521755406560315872206370677261833290426054385816,63107,40871
67,3289428730024077696855101782141128586331352517219089658687239133855,9780256646413152696979216005559978498981287959508272691560527768198,32171457199720361986017847610749783267922668312556349632670622674380598104043248519228960600186973691178341005655209768007069734143290,29337353182106718635758108799343409307184642145508508932827619588738971759623708226420487534558014566958449780955511671944639233258545,32171457199720361986017847610749783267922668312556349632670622674380598104043248519228960600186973691178341005655209768007069734143290,65001,43517
68,92730049076752660257558754975690131940828281600212200624500709727088,36749107551062302580160393405099457332531090866473183212400605191282,3407746546736869086946271644385662572927621211672670786855032527654811648848233745457249437683778683984847810986119409922620846256846816,2616763220081335711918982378357680268578575239076064252425036791493727009729369452828469880589576111429055901993595267070770488736840144,3407746546736869086946271644385662572927621211672670786855032527654811648848233745457249437683778683984847810986119409922620846256846816,66923,43174
69,571374338278444621063402262395109259398186257637195879113357353252852,680861691412262320616398882881732402462897960111619853744319514646256,389026898389823944186413171880801221390159579500849029126863391760224799369369514958934349004099023548717956268512968204526989437703122112,372905414022344533965948838010274521682652614452839063647711622906586418984557063287554940493474447805120073626423615428128355965850881272,389026898389823944186413171880801221390159579500849029126863391760224799369369514958934349004099023548717956268512968204526989437703122112,68873,43615
70,7034562122653457773894281195810458419347009505148054213987059736342785,2981331759495601965764536837201149370588970724587767396435852579215625,20972363470411549828756268200681227289761344267462752683518389720630025331207968046424379740711379911590502203098612351440882625941428015625,37037882328392653107406296625164113671660635330277868067142965129761029553618684402517416939049066984185615541135451881091208009709514599220,20972363470411549828756268200681227289761344267462752683518389720630025331207968046424379740711379911590502203098612351440882625941428015625,70851,44546
71,95267529741034927118655829758036976162526294689879242214098992902980491,77714160195452525359353205196991820921498886245861199657957732645570409,7403636067719826164320122920921748618999129747981473213808073166131433231063646750160782776910470439253781733319402541563801313471624893890819,8612904398934817506024636215278218845246608150843666985780997025201621303235643036260257135460831181113319903813120171257766618453106911072507,7403636067719826164320122920921748618999129747981473213808073166131433231063646750160782776910470439253781733319402541563801313471624893890819,72857,46898
72,787992734312168988694764216309757497874086301861478289753799558194092786,195049409020305946488288705390238373199954324667715258801859565458763716,153697517139883521049144644507079917515068259361990928053526021908996414602591094658098465032559114180914293923356510971414025387878345754152776,486481383795866812336676493290834180422720408091867216916921167941803199326228270981117261283002511250963974451181207102476451354914938471676526,153697517139883521049144644507079917515068259361990928053526021908996414602591094658098465032559114180914293923356510971414025387878345754152776,74891,45330
